"","node","cluster","interactor","description","timepoint"
"572","HORVU.MOREX.r2.3HG0248820",3,FALSE,"Phosphatidylinositol transfer protein",NA
"573","HORVU.MOREX.r2.3HG0248950",5,FALSE,"DUF668 family protein",NA
"574","HORVU.MOREX.r2.3HG0249720",1,FALSE,"Polypyrimidine tract-binding protein-like protein",NA
"575","HORVU.MOREX.r2.3HG0250080",1,FALSE,"U-box domain-containing family protein",NA
"576","HORVU.MOREX.r2.3HG0250830",6,FALSE,"Ribosomal protein",NA
"577","HORVU.MOREX.r2.3HG0250850",3,FALSE,"transcription factor-like protein",NA
"578","HORVU.MOREX.r2.3HG0250900",3,FALSE,"BZIP transcription factor",NA
"579","HORVU.MOREX.r2.3HG0251090",1,FALSE,"Alkyl transferase",NA
"580","HORVU.MOREX.r2.3HG0251180",1,FALSE,"Cell division control protein 6-like protein",NA
"581","HORVU.MOREX.r2.3HG0251360",3,FALSE,"Wuschel-related homeobox protein",NA
"582","HORVU.MOREX.r2.3HG0251430",1,FALSE,"HXXXD-type acyl-transferase family protein",NA
"583","HORVU.MOREX.r2.3HG0251560",1,FALSE,"Fructose-1,6-bisphosphatase class 1",NA
"584","HORVU.MOREX.r2.3HG0251720",1,FALSE,"Alpha-1,4 glucan phosphorylase",NA
"585","HORVU.MOREX.r2.3HG0251880",2,FALSE,"Adenine nucleotide alpha hydrolases-like superfamily protein",NA
"586","HORVU.MOREX.r2.3HG0252010",1,FALSE,"Mannose-1-phosphate guanyltransferase 1",NA
"587","HORVU.MOREX.r2.3HG0252080",3,FALSE,"Protein phosphatase 2C",NA
"588","HORVU.MOREX.r2.3HG0252650",3,FALSE,"70 kDa heat shock protein",NA
"589","HORVU.MOREX.r2.3HG0252690",1,FALSE,"Pathogenesis-related thaumatin-like protein",NA
"590","HORVU.MOREX.r2.3HG0252710",1,FALSE,"ubiquitin-conjugating enzyme E2","32H"
"591","HORVU.MOREX.r2.3HG0252910",6,FALSE,"30S ribosomal protein S8, putative",NA
"592","HORVU.MOREX.r2.3HG0252940",1,FALSE,"ABC transporter ATP-binding protein ARB1",NA
"593","HORVU.MOREX.r2.3HG0253300",6,FALSE,"30S ribosomal protein S12",NA
"594","HORVU.MOREX.r2.3HG0253370",1,FALSE,"Coatomer subunit delta",NA
"595","HORVU.MOREX.r2.3HG0254210",1,FALSE,"TOM1-like protein 2",NA
"596","HORVU.MOREX.r2.3HG0254340",3,FALSE,"Fructose-bisphosphate aldolase","32H"
"597","HORVU.MOREX.r2.3HG0254350",3,FALSE,"Fructose-bisphosphate aldolase","32H"
"598","HORVU.MOREX.r2.3HG0254660",3,FALSE,"Heat shock transcription factor",NA
"599","HORVU.MOREX.r2.3HG0255010",1,FALSE,"Kinase family protein",NA
"600","HORVU.MOREX.r2.3HG0255090",1,FALSE,"RNA-binding protein, putative",NA
"601","HORVU.MOREX.r2.3HG0255350",1,FALSE,"Beta-glucosidase",NA
"602","HORVU.MOREX.r2.3HG0255360",7,TRUE,"Pentatricopeptide repeat protein",NA
"603","HORVU.MOREX.r2.3HG0255450",1,FALSE,"IQ domain-containing protein",NA
"604","HORVU.MOREX.r2.3HG0256210",3,FALSE,"PHD finger alfin-like protein",NA
"605","HORVU.MOREX.r2.3HG0256920",1,FALSE,"Acyl-[acyl-carrier-protein] desaturase",NA
"606","HORVU.MOREX.r2.3HG0257150",1,FALSE,"Cysteine proteinase",NA
"607","HORVU.MOREX.r2.3HG0257820",1,FALSE,"Aldehyde dehydrogenase, putative",NA
"608","HORVU.MOREX.r2.3HG0257850",3,FALSE,"Transcription factor viviparous 1",NA
"609","HORVU.MOREX.r2.3HG0258430",1,FALSE,"AP-4 complex subunit epsilon",NA
"610","HORVU.MOREX.r2.3HG0258450",1,FALSE,"Selenium-binding protein",NA
"611","HORVU.MOREX.r2.3HG0258670",3,FALSE,"Small ubiquitin-related modifier","32H"
"612","HORVU.MOREX.r2.3HG0259240",2,TRUE,"Dynamin, putative",NA
"613","HORVU.MOREX.r2.3HG0259470",3,FALSE,"MYND type zinc finger protein",NA
"614","HORVU.MOREX.r2.3HG0260050",4,FALSE,"50S ribosomal protein L27",NA
"615","HORVU.MOREX.r2.3HG0260450",1,FALSE,"Ubiquitin-conjugating enzyme E2, putative",NA
"616","HORVU.MOREX.r2.3HG0260940",3,FALSE,"Transcription factor Inducer of CBF expression 1",NA
"617","HORVU.MOREX.r2.3HG0261040",7,FALSE,"Aminopeptidase","32H"
"618","HORVU.MOREX.r2.3HG0261450",1,FALSE,"Alcohol dehydrogenase, putative",NA
"619","HORVU.MOREX.r2.3HG0261470",1,FALSE,"Alcohol dehydrogenase, putative",NA
"620","HORVU.MOREX.r2.3HG0261560",1,FALSE,"Acetolactate synthase",NA
"621","HORVU.MOREX.r2.3HG0262210",1,FALSE,"Homeobox protein LUMINIDEPENDENS",NA
"622","HORVU.MOREX.r2.3HG0262240",1,FALSE,"Methyl esterase",NA
"623","HORVU.MOREX.r2.3HG0262300",1,FALSE,"Methyl esterase 1, putative","32H"
"624","HORVU.MOREX.r2.3HG0262310",1,FALSE,"Methyl esterase 1, putative","32H"
"625","HORVU.MOREX.r2.3HG0262320",1,FALSE,"Methyl esterase 1, putative",NA
"626","HORVU.MOREX.r2.3HG0262430",1,FALSE,"Nuclear transcription factor Y subunit B",NA
"627","HORVU.MOREX.r2.3HG0262550",1,FALSE,"Spermatogenesis-associated protein 20",NA
"628","HORVU.MOREX.r2.3HG0262650",1,FALSE,"Bifunctional purine biosynthesis protein purH",NA
"629","HORVU.MOREX.r2.3HG0262770",1,FALSE,"DNA (Cytosine-5-)-methyltransferase",NA
"630","HORVU.MOREX.r2.3HG0262790",1,FALSE,"DNA (Cytosine-5-)-methyltransferase",NA
"631","HORVU.MOREX.r2.3HG0263370",1,FALSE,"UDP-glycosyltransferase",NA
"632","HORVU.MOREX.r2.3HG0264810",1,FALSE,"Sugar transporter, putative",NA
"633","HORVU.MOREX.r2.3HG0264820",1,FALSE,"Sugar transporter, putative",NA
"634","HORVU.MOREX.r2.3HG0265310",1,FALSE,"Gamma-secretase subunit APH1-like",NA
"635","HORVU.MOREX.r2.3HG0266510",4,FALSE,"Acetyl-CoA carboxylase",NA
"636","HORVU.MOREX.r2.3HG0267720",3,FALSE,"Non-specific serine/threonine protein kinase",NA
"637","HORVU.MOREX.r2.3HG0267730",3,FALSE,"Non-specific serine/threonine protein kinase",NA
"638","HORVU.MOREX.r2.3HG0268090",1,FALSE,"Orotate phosphoribosyltransferase, putative",NA
"639","HORVU.MOREX.r2.3HG0268150",1,FALSE,"Orotate phosphoribosyltransferase, Orotidine-5'-phosphate decarboxylase",NA
"640","HORVU.MOREX.r2.3HG0268220",1,FALSE,"Lycopene beta/epsilon cyclase",NA
"641","HORVU.MOREX.r2.3HG0268390",1,FALSE,"Beta-galactosidase",NA
"642","HORVU.MOREX.r2.3HG0269280",3,FALSE,"NBS-LRR-like resistance protein",NA
"643","HORVU.MOREX.r2.3HG0269360",1,FALSE,"Haloacid dehalogenase-like hydrolase",NA
"644","HORVU.MOREX.r2.3HG0269380",1,FALSE,"Protein RETICULATA, chloroplastic",NA
"645","HORVU.MOREX.r2.3HG0269620",3,FALSE,"PLATZ transcription factor",NA
"646","HORVU.MOREX.r2.3HG0269970",1,FALSE,"RNA binding protein",NA
"647","HORVU.MOREX.r2.3HG0270280",1,FALSE,"SWAP (Suppressor-of-White-APricot)/surp domain-containing protein / ubiquitin family protein",NA
"648","HORVU.MOREX.r2.3HG0270820",1,FALSE,"Progesterone 5-beta-reductase","32H"
"649","HORVU.MOREX.r2.3HG0270850",1,FALSE,"UDP-glycosyltransferase",NA
"650","HORVU.MOREX.r2.3HG0270890",1,FALSE,"Progesterone 5-beta-reductase","32H"
"651","HORVU.MOREX.r2.3HG0270960",4,FALSE,"Coatomer subunit beta",NA
"652","HORVU.MOREX.r2.3HG0271040",3,FALSE,"Ubiquitin-fold modifier 1",NA
"653","HORVU.MOREX.r2.3HG0271070",6,FALSE,"40S ribosomal protein S10",NA
"654","HORVU.MOREX.r2.3HG0271620",2,FALSE,"Vesicle-associated membrane protein",NA
"655","HORVU.MOREX.r2.3HG0272760",3,FALSE,"Bifunctional polymyxin resistance arnA protein",NA
"656","HORVU.MOREX.r2.3HG0272790",1,FALSE,"Villin",NA
"657","HORVU.MOREX.r2.3HG0273090",5,FALSE,"Cyclin family protein",NA
"658","HORVU.MOREX.r2.3HG0273830",1,FALSE,"Cytochrome P450",NA
"659","HORVU.MOREX.r2.3HG0274120",1,FALSE,"Acetyl-coenzyme A synthetase",NA
"660","HORVU.MOREX.r2.3HG0274970",1,FALSE,"O-methyltransferase",NA
"661","HORVU.MOREX.r2.3HG0275280",2,FALSE,"SNARE-interacting protein KEULE",NA
"662","HORVU.MOREX.r2.4HG0275890",1,FALSE,"ABC transporter ATP-binding protein ARB1",NA
"663","HORVU.MOREX.r2.4HG0276750",1,FALSE,"O-methyltransferase",NA
"664","HORVU.MOREX.r2.4HG0277350",1,FALSE,"Methyltransferase",NA
"665","HORVU.MOREX.r2.4HG0277550",3,FALSE,"Potassium channel","32H"
"666","HORVU.MOREX.r2.4HG0277590",1,FALSE,"5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","32H"
"667","HORVU.MOREX.r2.4HG0278220",3,FALSE,"Guanine nucleotide-binding protein subunit beta",NA
"668","HORVU.MOREX.r2.4HG0278420",3,FALSE,"Homeobox protein knotted-1-like 1",NA
"669","HORVU.MOREX.r2.4HG0278860",3,FALSE,"Ubiquitin-conjugating enzyme E2",NA
"670","HORVU.MOREX.r2.4HG0278940",3,FALSE,"Argonaute protein",NA
"671","HORVU.MOREX.r2.4HG0279220",3,FALSE,"5'-AMP-activated protein kinase subunit beta-1",NA
"672","HORVU.MOREX.r2.4HG0279340",1,FALSE,"Plasma membrane ATPase",NA
"673","HORVU.MOREX.r2.4HG0279680",2,FALSE,"Lysine--tRNA ligase",NA
"674","HORVU.MOREX.r2.4HG0279770",4,FALSE,"Proteasome subunit beta type","32H"
"675","HORVU.MOREX.r2.4HG0280050",4,FALSE,"Importin-5","32H"
"676","HORVU.MOREX.r2.4HG0280240",1,FALSE,"Phosphatidylinositol-4-phosphate 5-kinase family protein","32H"
"677","HORVU.MOREX.r2.4HG0280690",3,FALSE,"Glutamyl-tRNA(Gln) amidotransferase subunit A",NA
"678","HORVU.MOREX.r2.4HG0280770",1,FALSE,"Phytanoyl-CoA dioxygenase",NA
"679","HORVU.MOREX.r2.4HG0281090",3,FALSE,"14-3-3 protein","32H"
"680","HORVU.MOREX.r2.4HG0281100",8,FALSE,"Protein CASP",NA
"681","HORVU.MOREX.r2.4HG0281250",1,FALSE,"Phosphoglucosamine mutase",NA
"682","HORVU.MOREX.r2.4HG0281440",1,FALSE,"Dynamin","32H"
"683","HORVU.MOREX.r2.4HG0281460",1,FALSE,"NADH-ubiquinone oxidoreductase subunit",NA
"684","HORVU.MOREX.r2.4HG0281760",1,FALSE,"UDP-glucose 6-dehydrogenase",NA
"685","HORVU.MOREX.r2.4HG0281810",3,FALSE,"Zinc finger homeodomain protein",NA
"686","HORVU.MOREX.r2.4HG0282090",2,FALSE,"Translational activator GCN1",NA
"687","HORVU.MOREX.r2.4HG0282540",5,FALSE,"Receptor kinase","32H"
"688","HORVU.MOREX.r2.4HG0282580",1,FALSE,"Pre-mRNA polyadenylation factor Fip1",NA
"689","HORVU.MOREX.r2.4HG0282910",3,FALSE,"homeobox-1",NA
"690","HORVU.MOREX.r2.4HG0283660",1,FALSE,"Endoplasmic reticulum oxidoreductin-1","32H"
"691","HORVU.MOREX.r2.4HG0283930",2,FALSE,"Eukaryotic translation initiation factor 3 subunit G",NA
"692","HORVU.MOREX.r2.4HG0284240",2,FALSE,"CBS domain containing protein, expressed","32H"
"693","HORVU.MOREX.r2.4HG0284490",1,FALSE,"Serine hydroxymethyltransferase",NA
"694","HORVU.MOREX.r2.4HG0284540",5,FALSE,"WRKY transcription factor",NA
"695","HORVU.MOREX.r2.4HG0284720",1,FALSE,"UDP-glycosyltransferase",NA
"696","HORVU.MOREX.r2.4HG0285910",3,FALSE,"Cyclin",NA
"697","HORVU.MOREX.r2.4HG0286960",1,FALSE,"Acetolactate synthase small subunit",NA
"698","HORVU.MOREX.r2.4HG0287210",3,FALSE,"PHD finger alfin-like protein","32H"
"699","HORVU.MOREX.r2.4HG0287460",1,FALSE,"Chlorophyll a/b binding protein domain-containing protein","32H"
"700","HORVU.MOREX.r2.4HG0287550",1,FALSE,"Non-lysosomal glucosylceramidase",NA
"701","HORVU.MOREX.r2.4HG0287800",3,FALSE,"Auxin F-box protein 1",NA
"702","HORVU.MOREX.r2.4HG0288160",6,FALSE,"Ribosomal protein","32H"
"703","HORVU.MOREX.r2.4HG0288310",4,FALSE,"Methylthioribose-1-phosphate isomerase",NA
"704","HORVU.MOREX.r2.4HG0288510",2,FALSE,"Protein transport protein Sec24-like family","32H"
"705","HORVU.MOREX.r2.4HG0289270",1,FALSE,"Uridine kinase",NA
"706","HORVU.MOREX.r2.4HG0289970",3,FALSE,"SWI/SNF complex subunit SWI3C",NA
"707","HORVU.MOREX.r2.4HG0290240",5,FALSE,"DUF668 family protein",NA
"708","HORVU.MOREX.r2.4HG0290630",1,FALSE,"Cyclic nucleotide-gated channel",NA
"709","HORVU.MOREX.r2.4HG0290700",1,FALSE,"ATP-dependent RNA helicase family protein",NA
"710","HORVU.MOREX.r2.4HG0290970",3,FALSE,"Transcription factor, putative",NA
"711","HORVU.MOREX.r2.4HG0291020",3,FALSE,"Neutral/alkaline invertase",NA
"712","HORVU.MOREX.r2.4HG0291220",3,FALSE,"Fructose-bisphosphate aldolase",NA
"713","HORVU.MOREX.r2.4HG0291510",6,FALSE,"60S ribosomal protein L27",NA
"714","HORVU.MOREX.r2.4HG0292690",1,FALSE,"UDP-glucose 6-dehydrogenase","32H"
"715","HORVU.MOREX.r2.4HG0294400",1,FALSE,"Cysteine desulfurase, putative, expressed",NA
"716","HORVU.MOREX.r2.4HG0294890",6,FALSE,"30S ribosomal protein S9","32H"
"717","HORVU.MOREX.r2.4HG0294910",6,FALSE,"30S ribosomal protein S9",NA
"718","HORVU.MOREX.r2.4HG0295580",5,FALSE,"Protein CHUP1, chloroplastic",NA
"719","HORVU.MOREX.r2.4HG0295820",3,FALSE,"Ferritin","32H"
"720","HORVU.MOREX.r2.4HG0295830",1,FALSE,"Ubiquitin activating enzyme E1",NA
"721","HORVU.MOREX.r2.4HG0295930",1,FALSE,"Clathrin heavy chain","32H"
"722","HORVU.MOREX.r2.4HG0296890",1,FALSE,"Long-Chain Acyl-CoA Synthetase","32H"
"723","HORVU.MOREX.r2.4HG0297060",3,FALSE,"Phosphatidylinositol-4-phosphate 5-kinase 4, putative",NA
"724","HORVU.MOREX.r2.4HG0298010",1,FALSE,"Pyridoxal 5'-phosphate synthase subunit PdxS",NA
"725","HORVU.MOREX.r2.4HG0298180",1,FALSE,"Ribulose bisphosphate carboxylase/oxygenase activase","32H"
"726","HORVU.MOREX.r2.4HG0298440",2,FALSE,"Alanine--tRNA ligase",NA
"727","HORVU.MOREX.r2.4HG0299430",1,FALSE,"Succinate--CoA ligase [ADP-forming] subunit beta","32H"
"728","HORVU.MOREX.r2.4HG0299490",3,FALSE,"Xyloglucan endotransglucosylase/hydrolase",NA
"729","HORVU.MOREX.r2.4HG0301490",3,FALSE,"14-3-3-like protein",NA
"730","HORVU.MOREX.r2.4HG0307100",1,FALSE,"ABC transporter (ATP-binding protein), putative",NA
"731","HORVU.MOREX.r2.4HG0307240",1,FALSE,"30S ribosomal protein S5",NA
"732","HORVU.MOREX.r2.4HG0307580",1,FALSE,"Splicing factor u2af large subunit, putative",NA
"733","HORVU.MOREX.r2.4HG0308470",2,FALSE,"Eukaryotic translation initiation factor 3 subunit I",NA
"734","HORVU.MOREX.r2.4HG0308830",4,FALSE,"50S ribosomal protein L6, putative, expressed",NA
"735","HORVU.MOREX.r2.4HG0309810",1,FALSE,"3-oxoacyl-[acyl-carrier-protein] synthase",NA
"736","HORVU.MOREX.r2.4HG0309820",2,FALSE,"Protein transport protein SEC23","32H"
"737","HORVU.MOREX.r2.4HG0309920",2,FALSE,"Nucleolar protein",NA
"738","HORVU.MOREX.r2.4HG0310860",1,FALSE,"Paladin","32H"
"739","HORVU.MOREX.r2.4HG0311100",3,FALSE,"14-3-3 protein",NA
"740","HORVU.MOREX.r2.4HG0312080",1,FALSE,"Beta-adaptin-like protein",NA
"741","HORVU.MOREX.r2.4HG0314460",1,FALSE,"Fumarate hydratase, class II",NA
"742","HORVU.MOREX.r2.4HG0314500",6,FALSE,"Ribosomal protein L19",NA
"743","HORVU.MOREX.r2.4HG0315180",2,FALSE,"Eukaryotic translation initiation factor 2 beta subunit, putative, expressed","32H"
"744","HORVU.MOREX.r2.4HG0315210",1,FALSE,"Receptor-like kinase","32H"
"745","HORVU.MOREX.r2.4HG0315350",1,FALSE,"Hydroxyacylglutathione hydrolase, putative, expressed","32H"
"746","HORVU.MOREX.r2.4HG0315630",2,FALSE,"Myb-like transcription factor family protein",NA
"747","HORVU.MOREX.r2.4HG0315770",3,FALSE,"Dedicator of cytokinesis",NA
"748","HORVU.MOREX.r2.4HG0316020",1,FALSE,"RING/U-box superfamily protein","32H"
"749","HORVU.MOREX.r2.4HG0316280",3,FALSE,"Histidine triad nucleotide binding protein",NA
"750","HORVU.MOREX.r2.4HG0316950",1,FALSE,"30S ribosomal protein S1",NA
"751","HORVU.MOREX.r2.4HG0317680",3,FALSE,"Phytochrome",NA
"752","HORVU.MOREX.r2.4HG0317830",1,FALSE,"ATP-dependent Clp protease proteolytic subunit",NA
"753","HORVU.MOREX.r2.4HG0317840",1,FALSE,"Ubiquitin-conjugating enzyme, E2","32H"
"754","HORVU.MOREX.r2.4HG0318050",1,FALSE,"Dipeptidyl-peptidase, putative",NA
"755","HORVU.MOREX.r2.4HG0319150",4,FALSE,"26S protease regulatory subunit",NA
"756","HORVU.MOREX.r2.4HG0319240",1,FALSE,"Malonyl CoA-acyl carrier protein transacylase containing protein, expressed",NA
"757","HORVU.MOREX.r2.4HG0319250",2,FALSE,"40S ribosomal protein S7",NA
"758","HORVU.MOREX.r2.4HG0319540",3,FALSE,"MYB domain transcription factor",NA
"759","HORVU.MOREX.r2.4HG0319700",1,FALSE,"Ubiquitin activating enzyme E1",NA
"760","HORVU.MOREX.r2.4HG0319720",1,FALSE,"Ethylene-overproduction protein 1",NA
"761","HORVU.MOREX.r2.4HG0320350",3,FALSE,"Non-specific serine/threonine protein kinase",NA
"762","HORVU.MOREX.r2.4HG0320500",2,FALSE,"Elongation factor 1-alpha","32H"
"763","HORVU.MOREX.r2.4HG0320920",3,FALSE,"Mitogen-activated protein kinase","32H"
"764","HORVU.MOREX.r2.4HG0320930",1,FALSE,"Ascorbate peroxidase",NA
"765","HORVU.MOREX.r2.4HG0322360",3,FALSE,"Udp-glucose 4,6-dehydratase",NA
"766","HORVU.MOREX.r2.4HG0322370",1,FALSE,"UDP-glucuronate decarboxylase protein 6","32H"
"767","HORVU.MOREX.r2.4HG0322410",1,FALSE,"70 kDa heat shock protein",NA
"768","HORVU.MOREX.r2.4HG0322690",3,FALSE,"70 kDa heat shock protein",NA
"769","HORVU.MOREX.r2.4HG0323620",3,FALSE,"Protein phosphatase 2C",NA
"770","HORVU.MOREX.r2.4HG0323760",3,FALSE,"LIM domain-containing protein 1",NA
"771","HORVU.MOREX.r2.4HG0323820",1,FALSE,"Fructose-1,6-bisphosphatase class 1",NA
"772","HORVU.MOREX.r2.4HG0324290",1,FALSE,"Calcium-binding EF hand family protein, putative, expressed",NA
"773","HORVU.MOREX.r2.4HG0324790",6,FALSE,"Importin-4",NA
"774","HORVU.MOREX.r2.4HG0325280",1,FALSE,"Phosphoenolpyruvate carboxykinase (ATP)-like protein",NA
"775","HORVU.MOREX.r2.4HG0325410",3,FALSE,"Topless-related protein 1",NA
"776","HORVU.MOREX.r2.4HG0325590",1,FALSE,"Phosphomevalonate kinase",NA
"777","HORVU.MOREX.r2.4HG0325800",1,FALSE,"V-type proton ATPase subunit a",NA
"778","HORVU.MOREX.r2.4HG0326090",3,FALSE,"LOB domain protein",NA
"779","HORVU.MOREX.r2.4HG0326110",2,FALSE,"Brefeldin A-inhibited guanine nucleotide-exchange protein",NA
"780","HORVU.MOREX.r2.4HG0326510",1,FALSE,"Auxin influx transporter",NA
"781","HORVU.MOREX.r2.4HG0326610",3,FALSE,"Myb transcription factor",NA
"782","HORVU.MOREX.r2.4HG0326700",4,FALSE,"26S proteasome non-ATPase regulatory subunit 4",NA
"783","HORVU.MOREX.r2.4HG0327110",5,FALSE,"Protein OBERON 3",NA
"784","HORVU.MOREX.r2.4HG0328620",5,FALSE,"Kinase, putative","32H"
"785","HORVU.MOREX.r2.4HG0328790",1,FALSE,"Trehalose-6-phosphate synthase","32H"
"786","HORVU.MOREX.r2.4HG0329060",4,FALSE,"Glutamine synthetase",NA
"787","HORVU.MOREX.r2.4HG0329510",1,FALSE,"Superoxide dismutase [Cu-Zn]","32H"
"788","HORVU.MOREX.r2.4HG0329640",1,FALSE,"Alpha-glucosidase like protein","32H"
"789","HORVU.MOREX.r2.4HG0329740",5,FALSE,"Microtubule-associated protein 70-4",NA
"790","HORVU.MOREX.r2.4HG0329770",2,FALSE,"Methionine--tRNA ligase",NA
"791","HORVU.MOREX.r2.4HG0329790",3,FALSE,"MADS box transcription factor",NA
"792","HORVU.MOREX.r2.4HG0330120",2,FALSE,"ATP-dependent RNA helicase",NA
"793","HORVU.MOREX.r2.4HG0330320",1,FALSE,"Mitochondrial-processing peptidase beta subunit",NA
"794","HORVU.MOREX.r2.4HG0330680",4,FALSE,"T-complex protein 1 subunit beta",NA
"795","HORVU.MOREX.r2.4HG0331060",1,FALSE,"Mannose-1-phosphate guanyltransferase",NA
"796","HORVU.MOREX.r2.4HG0331120",3,FALSE,"Cyclin",NA
"797","HORVU.MOREX.r2.4HG0331210",2,FALSE,"Protein kinase",NA
"798","HORVU.MOREX.r2.4HG0331480",1,FALSE,"Flap endonuclease 1",NA
"799","HORVU.MOREX.r2.4HG0331780",1,FALSE,"Outer mitochondrial membrane protein porin","32H"
"800","HORVU.MOREX.r2.4HG0331900",5,FALSE,"Peptidyl-prolyl cis-trans isomerase-like protein",NA
"801","HORVU.MOREX.r2.4HG0331930",1,FALSE,"ADP-ribosylation factor, putative","32H"
"802","HORVU.MOREX.r2.4HG0331970",6,FALSE,"40S ribosomal protein S3a",NA
"803","HORVU.MOREX.r2.4HG0332580",1,FALSE,"Serine acetyltransferase 3",NA
"804","HORVU.MOREX.r2.4HG0332910",4,FALSE,"26S proteasome regulatory subunit","32H"
"805","HORVU.MOREX.r2.4HG0332970",4,FALSE,"60 kDa chaperonin",NA
"806","HORVU.MOREX.r2.4HG0334150",1,FALSE,"Phosphoserine aminotransferase","32H"
"807","HORVU.MOREX.r2.4HG0334770",3,FALSE,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",NA
"808","HORVU.MOREX.r2.4HG0336080",1,FALSE,"Aminotransferase like protein",NA
"809","HORVU.MOREX.r2.4HG0336330",6,FALSE,"60S ribosomal protein L4",NA
"810","HORVU.MOREX.r2.4HG0336360",3,FALSE,"Dehydration responsive element binding transcription factor",NA
"811","HORVU.MOREX.r2.4HG0336480",3,FALSE,"Nuclear transcription factor Y subunit","32H"
"812","HORVU.MOREX.r2.4HG0337290",4,FALSE,"Proteasome subunit alpha type","32H"
"813","HORVU.MOREX.r2.4HG0337450",6,FALSE,"50S ribosomal protein L2",NA
"814","HORVU.MOREX.r2.4HG0337610",2,FALSE,"40S ribosomal protein SA","32H"
"815","HORVU.MOREX.r2.4HG0337620",2,FALSE,"Eukaryotic translation initiation factor 3 subunit K",NA
"816","HORVU.MOREX.r2.4HG0337790",3,FALSE,"Plasma membrane ATPase",NA
"817","HORVU.MOREX.r2.4HG0338270",3,FALSE,"Transport inhibitor response 1-like protein",NA
"818","HORVU.MOREX.r2.4HG0338430",3,FALSE,"Basic helix-loop-helix transcription factor",NA
"819","HORVU.MOREX.r2.4HG0338880",1,FALSE,"Cysteine--tRNA ligase",NA
"820","HORVU.MOREX.r2.4HG0338920",4,FALSE,"60 kDa chaperonin","32H"
"821","HORVU.MOREX.r2.4HG0339130",1,FALSE,"Receptor-like protein kinase",NA
"822","HORVU.MOREX.r2.4HG0339290",1,FALSE,"Aquaporin",NA
"823","HORVU.MOREX.r2.4HG0339770",1,FALSE,"Ubiquitin-conjugating enzyme E2","32H"
"824","HORVU.MOREX.r2.4HG0340100",3,FALSE,"Transport inhibitor response 1-like protein","32H"
"825","HORVU.MOREX.r2.4HG0340370",1,FALSE,"Aconitate hydratase","32H"
"826","HORVU.MOREX.r2.4HG0341140",1,FALSE,"Protein kinase family protein, putative, expressed",NA
"827","HORVU.MOREX.r2.4HG0341280",1,FALSE,"Expansin-like protein",NA
"828","HORVU.MOREX.r2.4HG0341400",1,FALSE,"Expansin-like protein",NA
"829","HORVU.MOREX.r2.4HG0341410",1,FALSE,"Metal tolerance protein",NA
"830","HORVU.MOREX.r2.4HG0341470",3,FALSE,"Catalase",NA
"831","HORVU.MOREX.r2.4HG0341540",1,FALSE,"Plant regulator RWP-RK family protein, putative","32H"
"832","HORVU.MOREX.r2.4HG0341830",1,FALSE,"CoA ligase",NA
"833","HORVU.MOREX.r2.4HG0342150",3,FALSE,"Calcium dependent protein kinase",NA
"834","HORVU.MOREX.r2.4HG0342350",5,FALSE,"Non-specific serine/threonine protein kinase",NA
"835","HORVU.MOREX.r2.4HG0342490",1,FALSE,"Anthranilate phosphoribosyltransferase","32H"
"836","HORVU.MOREX.r2.4HG0343460",6,FALSE,"60S ribosomal protein L21",NA
"837","HORVU.MOREX.r2.4HG0343670",3,FALSE,"E2 ubiquitin-conjugating-like enzyme",NA
"838","HORVU.MOREX.r2.4HG0343720",1,FALSE,"50S ribosomal protein L11",NA
"839","HORVU.MOREX.r2.4HG0343940",3,FALSE,"Alcohol dehydrogenase-like protein",NA
"840","HORVU.MOREX.r2.4HG0344150",3,FALSE,"NAC domain protein,",NA
"841","HORVU.MOREX.r2.4HG0344580",4,FALSE,"Protein kinase",NA
"842","HORVU.MOREX.r2.4HG0344760",4,FALSE,"26S proteasome non-ATPase regulatory subunit-like protein",NA
"843","HORVU.MOREX.r2.4HG0344850",2,FALSE,"COP9 signalosome complex subunit 1",NA
"844","HORVU.MOREX.r2.4HG0345510",3,FALSE,"Protein kinase",NA
"845","HORVU.MOREX.r2.4HG0346290",3,FALSE,"Scarecrow transcription factor family protein",NA
"846","HORVU.MOREX.r2.4HG0346420",1,FALSE,"Flavin-containing monooxygenase",NA
"847","HORVU.MOREX.r2.4HG0346440",5,FALSE,"C2H2-like zinc finger protein",NA
"848","HORVU.MOREX.r2.4HG0346680",1,FALSE,"CCR4-NOT transcription complex subunit 1",NA
"849","HORVU.MOREX.r2.4HG0347420",2,FALSE,"Alanine--tRNA ligase",NA
"850","HORVU.MOREX.r2.4HG0347430",1,FALSE,"Peptide transporter, putative",NA
"851","HORVU.MOREX.r2.4HG0347510",1,FALSE,"Xyloglucan alpha-1,6-xylosyltransferase",NA
"852","HORVU.MOREX.r2.4HG0347860",1,FALSE,"AP-2 complex subunit alpha-2","32H"
"853","HORVU.MOREX.r2.4HG0347970",3,FALSE,"Chaperone DnaK",NA
"854","HORVU.MOREX.r2.4HG0348360",3,FALSE,"Heat shock transcription factor",NA
"855","HORVU.MOREX.r2.4HG0348510",6,FALSE,"60S ribosomal protein L27",NA
"856","HORVU.MOREX.r2.4HG0348600",3,FALSE,"Heat shock transcription factor",NA
