,node,degree,betweenness,closeness,eigcent,bdc,diffslc_09,description,MLA_group
3954,HORVU.MOREX.r2.4HG0342540,10,7068,8.78E-07,5.58E-05,3.207750936,0.32082528,DET1-and DDB1-associated protein 1,HvInt
3955,HORVU.MOREX.r2.4HG0342600,1,0,8.76E-07,3.68E-06,0.894738492,0.089477161,"Beta-carotene hydroxylase, putative, expressed",HvInt
3956,HORVU.MOREX.r2.4HG0342620,3,0,8.76E-07,0.004707322,1.391662575,0.143402847,"WD-repeat protein, putative",HvInt
3957,HORVU.MOREX.r2.4HG0342960,1,0,8.78E-07,2.92E-05,0.825621505,0.082588395,GDSL esterase/lipase,HvInt
3958,HORVU.MOREX.r2.4HG0342990,1,0,8.72E-07,1.38E-07,0.862247043,0.086224829,Thyroid adenoma-associated protein-like protein,HvInt
3959,HORVU.MOREX.r2.4HG0343070,2,1,8.75E-07,6.16E-05,0.903285437,0.090383983,Methyltransferase,HvInt
3960,HORVU.MOREX.r2.4HG0343090,2,0,8.77E-07,0.0011034,1.753356129,0.176328673,Mechanosensitive ion channel,HvInt
3961,HORVU.MOREX.r2.4HG0343110,77,3465,8.78E-07,0.111455221,29.51421773,3.051731472,WD40 repeat-like protein,HvInt
3962,HORVU.MOREX.r2.4HG0343210,48,86444.78609,8.78E-07,0.015547812,11.2078451,1.134777541,Cysteine-rich repeat secretory protein,HvInt
3963,HORVU.MOREX.r2.4HG0343360,10,0,8.78E-07,8.48E-05,5.22884965,0.522961258,Multidrug resistance protein ABC transporter family protein,HvInt
3964,HORVU.MOREX.r2.4HG0343380,4,7600.496524,8.78E-07,1.37E-06,1.203718882,0.120373121,Myb transcription factor,HvInt
3965,HORVU.MOREX.r2.4HG0343460,129,80.6301329,8.78E-07,0.814152553,88.56409993,9.58914729,60S ribosomal protein L21,MLA
3966,HORVU.MOREX.r2.4HG0343480,55,734.2673133,8.78E-07,0.198709754,32.67312964,3.446151742,50S ribosomal protein L5,HvInt
3967,HORVU.MOREX.r2.4HG0343550,3,0,8.78E-07,2.91E-05,0.91279192,0.091305379,"Receptor-like protein kinase, putative",HvInt
3968,HORVU.MOREX.r2.4HG0343560,5,0.884795322,8.78E-07,2.55E-06,4.004648603,0.400467151,"Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe",HvInt
3969,HORVU.MOREX.r2.4HG0343570,32,8591.310082,8.78E-07,0.000177946,11.80677636,1.180837787,Homeobox protein BEL1-like protein,HvInt
3970,HORVU.MOREX.r2.4HG0343600,9,0,8.78E-07,0.001897974,2.876231101,0.289331287,PLAC8 family protein,HvInt
3971,HORVU.MOREX.r2.4HG0343610,29,78956.80844,8.78E-07,0.000371595,10.3171061,1.032045045,"Homeobox protein knotted-1, putative",HvInt
3972,HORVU.MOREX.r2.4HG0343620,43,17903.88254,8.78E-07,0.002943401,16.90453741,1.693102802,"WD-repeat protein, putative",HvInt
3973,HORVU.MOREX.r2.4HG0343650,6,0,8.77E-07,0.000440183,5.480577081,0.548453873,"Sugar transporter, putative",HvInt
3974,HORVU.MOREX.r2.4HG0343670,165,303559.2037,8.78E-07,0.047778249,44.01456711,4.444457135,E2 ubiquitin-conjugating-like enzyme,MLA
3975,HORVU.MOREX.r2.4HG0343710,3,0.005434783,8.78E-07,9.51E-05,0.869895704,0.087075151,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,HvInt
3976,HORVU.MOREX.r2.4HG0343720,5,7027,8.78E-07,0.005684574,2.701780998,0.275294216,50S ribosomal protein L11,MLA
3977,HORVU.MOREX.r2.4HG0343750,22,0,8.78E-07,0.000174505,7.635341164,0.763691171,Basic helix-loop-helix transcription factor,HvInt
3978,HORVU.MOREX.r2.4HG0343760,0,0,1.94E-08,8.02E-05,0,7.22E-05,Kinase family protein,HvInt
3979,HORVU.MOREX.r2.4HG0343780,10,0,8.78E-07,0.000162412,5.926693038,0.592815474,Endoribonuclease Dicer-like protein 3,HvInt
3980,HORVU.MOREX.r2.4HG0343790,8,7027,8.76E-07,0.002845519,3.900462764,0.392607243,"Nascent polypeptide-associated complex alpha subunit, putative, expressed",HvInt
3981,HORVU.MOREX.r2.4HG0343860,9,0,8.78E-07,0.00016069,1.303970375,0.130541658,B3 domain-containing protein,HvInt
3982,HORVU.MOREX.r2.4HG0343930,2,0,8.77E-07,2.80E-06,1.684261298,0.168428648,Heavy metal transport/detoxification superfamily protein,HvInt
3983,HORVU.MOREX.r2.4HG0343940,20,39066.944,8.78E-07,0.006041284,4.988266262,0.504263781,Alcohol dehydrogenase-like protein,MLA
3984,HORVU.MOREX.r2.4HG0343960,1,0,8.76E-07,4.47E-05,0.871829173,0.087223137,Remorin,HvInt
3985,HORVU.MOREX.r2.4HG0344040,12,0,8.77E-07,0.000174425,1.789105714,0.179067554,Aquaporin-like protein,HvInt
3986,HORVU.MOREX.r2.4HG0344150,22,39124.57378,8.78E-07,0.000211757,4.927261261,0.492916707,"NAC domain protein,",MLA
3987,HORVU.MOREX.r2.4HG0344170,35,127656.4394,8.78E-07,0.000229626,2.523968789,0.252603542,Histone H4,HvInt
3988,HORVU.MOREX.r2.4HG0344370,2,0,8.77E-07,0.000598595,1.686569387,0.169195675,Callose synthase-like protein,HvInt
3989,HORVU.MOREX.r2.4HG0344460,5,0,8.77E-07,0.002837449,1.493196016,0.151873306,L-allo-threonine aldolase,HvInt
3990,HORVU.MOREX.r2.4HG0344490,3,0.005434783,8.78E-07,0.000179295,0.93015681,0.093177046,Ataxin-10,HvInt
3991,HORVU.MOREX.r2.4HG0344500,14,0,8.78E-07,0.05575248,5.948885125,0.645065744,Hydroxymethylglutaryl-CoA synthase,HvInt
3992,HORVU.MOREX.r2.4HG0344570,22,0,8.78E-07,0.000281757,4.585204973,0.458774079,Post-GPI attachment to proteins factor 3,HvInt
3993,HORVU.MOREX.r2.4HG0344580,85,85864.01758,8.78E-07,0.012555254,36.9748759,3.708787318,Protein kinase,MLA
3994,HORVU.MOREX.r2.4HG0344600,97,59647.90284,8.78E-07,0.001758409,43.68670089,4.370252657,UDP-galactose transporter,HvInt
3995,HORVU.MOREX.r2.4HG0344760,70,1047.914842,8.78E-07,0.031422123,46.73151157,4.701431067,26S proteasome non-ATPase regulatory subunit-like protein,MLA
3996,HORVU.MOREX.r2.4HG0344800,7,91546.82077,8.78E-07,5.11E-07,1.035079472,0.103508407,Cell number regulator 6,HvInt
3997,HORVU.MOREX.r2.4HG0344850,22,0.005434783,8.78E-07,0.00557542,10.9563981,1.100657688,COP9 signalosome complex subunit 1,MLA
3998,HORVU.MOREX.r2.4HG0344860,47,441.0724642,8.78E-07,0.004361743,9.545185962,0.958444165,Rhomboid-like protein,HvInt
3999,HORVU.MOREX.r2.4HG0344990,1,0,8.74E-07,1.21E-06,0.917178115,0.0917189,Short-chain dehydrogenase/reductase family protein,HvInt
4000,HORVU.MOREX.r2.4HG0345440,19,0,8.77E-07,0.003765833,11.60566321,1.163955571,Small nuclear ribonucleoprotein-like protein,HvInt
4001,HORVU.MOREX.r2.4HG0345480,11,0,8.77E-07,0.000181344,1.616791797,0.161842389,SKP1 family protein,HvInt
4002,HORVU.MOREX.r2.4HG0345510,13,96787.3893,8.78E-07,7.44E-05,3.999778674,0.400044865,Protein kinase,MLA
4003,HORVU.MOREX.r2.4HG0345700,10,0,8.77E-07,0.004790353,4.219708569,0.426282174,Branched-chain-amino-acid aminotransferase,HvInt
4004,HORVU.MOREX.r2.4HG0346040,2,0,8.76E-07,1.44E-06,1.827988473,0.182800139,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,HvInt
4005,HORVU.MOREX.r2.4HG0346110,2,0,8.77E-07,1.01E-06,1.734718969,0.173472806,Basic helix-loop-helix (BHLH) Transcription Factor,HvInt
4006,HORVU.MOREX.r2.4HG0346270,3,0,8.78E-07,3.53E-05,0.942538061,0.094285574,"Receptor-like protein kinase, putative",HvInt
4007,HORVU.MOREX.r2.4HG0346290,19,84164,8.78E-07,0.000166008,3.003804402,0.300529847,Scarecrow transcription factor family protein,MLA
4008,HORVU.MOREX.r2.4HG0346300,3,0,8.77E-07,0.001649956,1.00754998,0.102239959,14 kDa proline-rich protein DC2.15,HvInt
4009,HORVU.MOREX.r2.4HG0346310,3,0,8.77E-07,0.001121691,0.949817754,0.095991297,14 kDa proline-rich protein DC2.15,HvInt
4010,HORVU.MOREX.r2.4HG0346420,8,0,8.77E-07,0.006167803,1.465255386,0.152076561,Flavin-containing monooxygenase,MLA
4011,HORVU.MOREX.r2.4HG0346440,11,0,8.78E-07,0.000842223,3.044284324,0.305186433,C2H2-like zinc finger protein,MLA
4012,HORVU.MOREX.r2.4HG0346550,3,0,8.77E-07,0.000158075,1.142933823,0.11443565,Oxysterol-binding protein,HvInt
4013,HORVU.MOREX.r2.4HG0346560,30,96980.28414,8.78E-07,5.82E-06,5.739340891,0.573939331,Nitrate transporter 1.1,HvInt
4014,HORVU.MOREX.r2.4HG0346680,3,0,8.78E-07,0.002165788,0.88881132,0.090830341,CCR4-NOT transcription complex subunit 1,MLA
4015,HORVU.MOREX.r2.4HG0346740,4,0,8.75E-07,0.000931691,2.908554737,0.291693996,ATP-dependent RNA helicase,HvInt
4016,HORVU.MOREX.r2.4HG0346770,17,35244.64856,8.78E-07,3.74E-05,3.255787655,0.325612418,GATA transcription factor,HvInt
4017,HORVU.MOREX.r2.4HG0346780,2,0,8.77E-07,2.88E-05,1.717312465,0.171757205,Matrix metalloproteinase,HvInt
4018,HORVU.MOREX.r2.4HG0346900,1,0,8.75E-07,3.10E-05,0.915220149,0.09154996,Methionyl-tRNA formyltransferase,HvInt
4019,HORVU.MOREX.r2.4HG0346930,5,0,8.78E-07,0.00018852,1.463059002,0.146475568,Phosphatidylserine decarboxylase proenzyme,HvInt
4020,HORVU.MOREX.r2.4HG0346950,7,0,8.78E-07,2.26E-05,1.376593354,0.137679688,Cell number regulator 6,HvInt
4021,HORVU.MOREX.r2.4HG0347150,25,1186.883536,8.78E-07,0.000242474,10.37720834,1.037939061,Protein kinase,HvInt
4022,HORVU.MOREX.r2.4HG0347280,14,35125,8.78E-07,0.000101649,5.854819351,0.58557342,Arginine/serine-rich splicing factor,HvInt
4023,HORVU.MOREX.r2.4HG0347300,10,7058,8.76E-07,0.000315319,6.171688747,0.617452662,Mitochondrial import inner membrane translocase subunit tim23,HvInt
4024,HORVU.MOREX.r2.4HG0347350,24,0,8.78E-07,0.000340222,4.67777743,0.468083943,Post-GPI attachment to proteins factor 3,HvInt
4025,HORVU.MOREX.r2.4HG0347390,1,0,1.94E-08,0,0.890251046,0.089025105,"ATPase, AAA family protein, expressed",HvInt
4026,HORVU.MOREX.r2.4HG0347410,1,0,1.94E-08,0,0.857782861,0.085778286,Protein kinase family protein,HvInt
4027,HORVU.MOREX.r2.4HG0347420,13,7027,8.78E-07,0.004922654,6.075987934,0.612029182,Alanine--tRNA ligase,MLA
4028,HORVU.MOREX.r2.4HG0347430,37,41522.26347,8.78E-07,1.15E-05,1.206595012,0.120669815,"Peptide transporter, putative",MLA
4029,HORVU.MOREX.r2.4HG0347510,3,0,8.77E-07,0.004005292,0.963234665,0.099928229,"Xyloglucan alpha-1,6-xylosyltransferase",MLA
4030,HORVU.MOREX.r2.4HG0347650,5,0,8.78E-07,0.000897483,3.751964156,0.376004151,Remorin,HvInt
4031,HORVU.MOREX.r2.4HG0347660,4,2565.771974,8.78E-07,1.13E-06,0.803718882,0.08037291,NAC domain-containing protein,HvInt
4032,HORVU.MOREX.r2.4HG0347760,3,0.005434783,8.78E-07,4.36E-05,0.833024807,0.083341693,2-oxoglutarate and Fe(II)-dependent oxygenase superfamily protein,HvInt
4033,HORVU.MOREX.r2.4HG0347780,1,0,8.75E-07,5.75E-06,0.869308393,0.086936017,Flavin-containing monooxygenase,HvInt
4034,HORVU.MOREX.r2.4HG0347860,17,7024,8.78E-07,0.014659262,6.839652833,0.697158619,AP-2 complex subunit alpha-2,MLA
4035,HORVU.MOREX.r2.4HG0347890,2,14052,8.78E-07,9.39E-08,0.801859441,0.080186029,Cytochrome P450 family protein,HvInt
4036,HORVU.MOREX.r2.4HG0347970,9,0,8.77E-07,0.000884946,4.189332897,0.419729741,Chaperone DnaK,MLA
4037,HORVU.MOREX.r2.4HG0348140,104,22590.81488,8.78E-07,0.045794468,27.97224042,2.838439064,THO complex subunit 1,HvInt
4038,HORVU.MOREX.r2.4HG0348350,36,21063,8.78E-07,0.007441,12.61864621,1.268561521,Nascent polypeptide-associated complex subunit beta,HvInt
4039,HORVU.MOREX.r2.4HG0348360,32,0,8.78E-07,9.47E-05,5.132863981,0.513371634,Heat shock transcription factor,MLA
4040,HORVU.MOREX.r2.4HG0348510,159,305638.4228,8.78E-07,0.004631588,65.99473933,6.603642362,60S ribosomal protein L27,MLA
4041,HORVU.MOREX.r2.4HG0348600,32,0,8.78E-07,0.000132424,5.837428969,0.583862078,Heat shock transcription factor,MLA
4042,HORVU.MOREX.r2.4HG0348630,11,4913.940672,8.78E-07,2.36E-06,2.846590562,0.28466118,Methylsterol monooxygenase 1-2,HvInt
4043,HORVU.MOREX.r2.4HG0348680,11,0,8.77E-07,0.000200672,6.285713308,0.628751936,Charged multivesicular body protein 3,HvInt
4044,HORVU.MOREX.r2.4HG0348760,1,0,8.78E-07,1.97E-08,0.800929721,0.08009299,"Protein phosphatase 2c, putative",HvInt
4045,HORVU.MOREX.r2.4HG0348890,8,0,8.77E-07,0.008031393,2.375627624,0.244791016,ATP-dependent chaperone ClpB,MLA
4046,HORVU.MOREX.r2.4HG0348920,3,640.40625,8.78E-07,6.82E-05,0.802789162,0.08034031,Alkyl transferase,MLA
4047,HORVU.MOREX.r2.4HG0348940,17,115773.3386,8.78E-07,6.00E-06,4.280380412,0.42804344,Protein FLOWERING LOCUS T,HvInt
4048,HORVU.MOREX.r2.4HG0349070,8,0,8.78E-07,0.000330936,2.079963099,0.208294153,Casein kinase II subunit beta,HvInt
4049,HORVU.MOREX.r2.4HG0349080,47,56257.22662,8.78E-07,0.001366782,10.2083651,1.022066613,Calcineurin B-like protein,MLA
4050,HORVU.MOREX.r2.4HG0349140,6,0,8.76E-07,0.00109364,1.317392123,0.132723488,DNA repair endonuclease UVH1,HvInt
4051,HORVU.MOREX.r2.4HG0349150,2,0,8.77E-07,0.000939035,1.73097799,0.17394293,tRNA/rRNA methyltransferase family protein,HvInt
4052,HORVU.MOREX.r2.5HG0349230,1,0,8.74E-07,1.80E-05,0.959506067,0.095966824,Trypsin family protein,HvInt
4053,HORVU.MOREX.r2.5HG0349250,1,0,8.77E-07,3.56E-06,0.847720274,0.084775227,Microtubule-associated protein 70-2,HvInt
4054,HORVU.MOREX.r2.5HG0349260,6,0,8.77E-07,0.000101249,2.095895965,0.20968072,Protein kinase,HvInt
4055,HORVU.MOREX.r2.5HG0349330,18,29199.85096,8.78E-07,9.91E-05,7.5147516,0.751564359,Sucrose transporter protein,HvInt
4056,HORVU.MOREX.r2.5HG0349390,36,23135.03524,8.78E-07,2.69E-06,18.46162845,1.846165268,AGAMOUS MADS box factor transcription factor,MLA
4057,HORVU.MOREX.r2.5HG0349480,36,28747.83829,8.78E-07,2.69E-06,18.46162845,1.846165268,Agamous MADS-box transcription factor,MLA
4058,HORVU.MOREX.r2.5HG0349490,25,151525.6857,8.78E-07,7.11E-05,1.271243013,0.127188292,"Sugar transporter, putative",MLA
4059,HORVU.MOREX.r2.5HG0349610,3,0,8.77E-07,6.88E-05,1.550999795,0.155161905,Ethylene receptor,HvInt
4060,HORVU.MOREX.r2.5HG0349630,7,0,8.77E-07,0.005637238,3.517846006,0.356858115,Sucrose-phosphatase,MLA
4061,HORVU.MOREX.r2.5HG0349640,11,57669.48915,8.78E-07,2.24E-06,4.446590562,0.444661069,Cation/H(+) antiporter,HvInt
4062,HORVU.MOREX.r2.5HG0349750,2,0,8.77E-07,1.58E-05,0.949187534,0.094933011,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein",HvInt
4063,HORVU.MOREX.r2.5HG0349810,6,0,8.78E-07,0.004608927,1.249848123,0.129132847,Plasma membrane ATPase,MLA
4064,HORVU.MOREX.r2.5HG0349820,32,2207.448634,8.78E-07,0.000276427,5.051013565,0.505350141,NRT1/PTR family protein 2.2,HvInt
4065,HORVU.MOREX.r2.5HG0349860,2,0,8.76E-07,0.000213538,0.954717952,0.09566398,Always EARLY-like protein,HvInt
4066,HORVU.MOREX.r2.5HG0349880,6,669.2775373,8.78E-07,1.99E-05,1.085944773,0.108612365,"Kinase, putative",HvInt
4067,HORVU.MOREX.r2.5HG0349900,74,0,8.78E-07,0.000580651,35.71372288,3.571894874,Receptor-like protein kinase,HvInt
4068,HORVU.MOREX.r2.5HG0350030,24,14212.2597,8.78E-07,0.000128596,11.61696821,1.161812558,BEL1-like homeodomain protein 6,HvInt
4069,HORVU.MOREX.r2.5HG0350170,2,0,8.77E-07,2.32E-05,0.850672207,0.085088094,E3 ubiquitin-protein ligase,HvInt
4070,HORVU.MOREX.r2.5HG0350440,11,0,8.78E-07,6.56E-05,1.402085393,0.140267558,ERD (Early-responsive to dehydration stress) family protein,HvInt
4071,HORVU.MOREX.r2.5HG0350450,11,0,8.78E-07,8.90E-05,1.639378402,0.164017967,ERD (Early-responsive to dehydration stress) family protein,HvInt
4072,HORVU.MOREX.r2.5HG0350510,10,0,8.77E-07,9.97E-05,5.263392699,0.526428955,"Receptor protein kinase, putative",HvInt
4073,HORVU.MOREX.r2.5HG0350720,57,7241.662335,8.78E-07,0.000437694,25.61994024,2.562387949,"Receptor protein kinase, putative",HvInt
4074,HORVU.MOREX.r2.5HG0350770,3,0,8.76E-07,0.00122434,1.569890902,0.158090996,Malate dehydrogenase,HvInt
4075,HORVU.MOREX.r2.5HG0350790,7,0,8.77E-07,0.007700266,1.902570143,0.197187254,Enolase,MLA
4076,HORVU.MOREX.r2.5HG0350880,19,28078.00543,8.78E-07,0.005593268,6.585811941,0.663615135,RNA-binding protein,MLA
4077,HORVU.MOREX.r2.5HG0350930,2,0,8.77E-07,0.000333124,1.741186192,0.174418431,GTPase family protein,HvInt
4078,HORVU.MOREX.r2.5HG0350940,1,0,8.74E-07,1.04E-06,0.876770004,0.087677936,Deoxyuridine 5'-triphosphate nucleotidohydrolase,HvInt
4079,HORVU.MOREX.r2.5HG0350990,13,0,8.78E-07,0.000162009,1.66424643,0.166570451,MscS Mechanosensitive ion channel,HvInt
4080,HORVU.MOREX.r2.5HG0351230,12,0,8.78E-07,6.56E-05,4.234818075,0.423540869,Ras family protein,HvInt
4081,HORVU.MOREX.r2.5HG0351850,4,15378.3678,8.78E-07,1.84E-05,0.803718882,0.080388468,"ATP synthase subunit epsilon, mitochondrial",HvInt
4082,HORVU.MOREX.r2.5HG0352100,3,0,8.76E-07,6.32E-05,1.585423462,0.158599271,Fatty acid 2-hydroxylase,HvInt
4083,HORVU.MOREX.r2.5HG0352310,8,0,8.77E-07,0.000216396,6.201337539,0.62032851,Anaphase-promoting complex subunit 5,HvInt
4084,HORVU.MOREX.r2.5HG0352410,1,0,8.78E-07,7.78E-09,0.800929721,0.080092979,ATP-dependent helicase/nuclease subunit,HvInt
4085,HORVU.MOREX.r2.5HG0352570,23,0,8.78E-07,0.008530696,6.924720756,0.700149702,Cysteine synthase,MLA
4086,HORVU.MOREX.r2.5HG0352690,2,0,8.78E-07,5.75E-06,0.88491467,0.088496644,"Amino acid permease family protein, putative, expressed",HvInt
4087,HORVU.MOREX.r2.5HG0352880,4,194.3630208,8.78E-07,9.59E-06,0.940548465,0.09406348,Cation calcium exchanger,HvInt
4088,HORVU.MOREX.r2.5HG0353110,4,156.7035558,8.78E-07,6.73E-06,0.89861403,0.089867461,Cation calcium exchanger,HvInt
4089,HORVU.MOREX.r2.5HG0353140,1,0,8.78E-07,3.29E-10,0.800929721,0.080092972,Glutathione S-transferase,HvInt
4090,HORVU.MOREX.r2.5HG0353220,3,7027,8.76E-07,0.001845264,1.553015401,0.156962278,N-carbamoylputrescine amidase,HvInt
4091,HORVU.MOREX.r2.5HG0353320,8,580.8485449,8.78E-07,2.38E-05,1.283940031,0.128415434,"Cationic amino acid transporter, putative",HvInt
4092,HORVU.MOREX.r2.5HG0353500,13,0,8.77E-07,0.008007111,6.198483575,0.627054757,"Udp-glucose 4,6-dehydratase",MLA
4093,HORVU.MOREX.r2.5HG0353600,6,0,8.77E-07,0.000362583,1.331347997,0.133461125,YABBY transcription factor,HvInt
4094,HORVU.MOREX.r2.5HG0353700,35,1882.383608,8.78E-07,0.000410846,15.60569373,1.560939134,Receptor-like kinase,HvInt
4095,HORVU.MOREX.r2.5HG0353930,1,0,8.77E-07,9.07E-06,0.842074573,0.084215616,EEIG1/EHBP1 N-terminal domain-containing protein,HvInt
4096,HORVU.MOREX.r2.5HG0354170,11,0,8.77E-07,0.000591137,4.064809258,0.407012949,Nuclear transcription factor Y subunit,HvInt
4097,HORVU.MOREX.r2.5HG0354200,3,0,8.77E-07,0.003423097,0.937046034,0.09678539,Serine/threonine-protein phosphatase,MLA
4098,HORVU.MOREX.r2.5HG0354240,3,0,8.76E-07,0.000845314,1.116607805,0.112421563,Tubulin-specific chaperone A,HvInt
4099,HORVU.MOREX.r2.5HG0354290,1,0,8.75E-07,1.32E-05,0.918105327,0.09182242,9-cis-epoxycarotenoid dioxygenase,HvInt
4100,HORVU.MOREX.r2.5HG0354360,14,593,8.77E-07,0.000802565,3.615141384,0.362236447,1-deoxy-D-xylulose 5-phosphate synthase 1,HvInt
4101,HORVU.MOREX.r2.5HG0354550,13,0,8.78E-07,0.00069148,3.606187632,0.361241095,Cation/H(+) antiporter,HvInt
4102,HORVU.MOREX.r2.5HG0354620,105,98363.35804,8.78E-07,0.000594541,27.77068081,2.777603168,TCP transcription factor,HvInt
4103,HORVU.MOREX.r2.5HG0354630,9,0,8.77E-07,0.038639631,3.931865577,0.427962226,30S ribosomal protein S10,MLA
4104,HORVU.MOREX.r2.5HG0354740,39,0,8.77E-07,0.127457065,21.58393713,2.273105072,60S ribosomal protein L24,HvInt
4105,HORVU.MOREX.r2.5HG0354800,1,0,8.76E-07,0.000882154,0.864581617,0.0872521,tRNA modification GTPase MnmE,HvInt
4106,HORVU.MOREX.r2.5HG0354890,16,0,8.78E-07,0.000148285,5.187904102,0.518923866,Protein DETOXIFICATION,HvInt
4107,HORVU.MOREX.r2.5HG0354910,6,0,8.78E-07,2.36E-06,1.429126667,0.142914794,Ureide permease-like protein,HvInt
4108,HORVU.MOREX.r2.5HG0355280,6,0,8.77E-07,0.001372216,3.218370473,0.323072041,Chloroplast stem-loop-binding protein,HvInt
4109,HORVU.MOREX.r2.5HG0355400,2,7027,8.76E-07,3.96E-06,1.246362969,0.124639859,Protein kinase,HvInt
4110,HORVU.MOREX.r2.5HG0355500,1,0,8.75E-07,0.000130441,0.905676154,0.090685012,mediator of RNA polymerase II transcription subunit,HvInt
4111,HORVU.MOREX.r2.5HG0355510,3,0,8.77E-07,2.86E-06,2.487762452,0.24877882,"Beta-1,3-galactosyltransferase-like protein",HvInt
4112,HORVU.MOREX.r2.5HG0355590,5,0,8.75E-07,0.001607373,3.798847995,0.381331435,SEC1 family transport protein SLY1,HvInt
4113,HORVU.MOREX.r2.5HG0355760,18,0,8.78E-07,9.66E-05,9.392280151,0.939314983,Bidirectional sugar transporter SWEET,HvInt
4114,HORVU.MOREX.r2.5HG0355830,8,0,8.77E-07,6.89E-05,1.918224466,0.191884427,Remorin,HvInt
4115,HORVU.MOREX.r2.5HG0355840,12,0,8.77E-07,0.02631819,5.714181404,0.595104511,Nucleolar and coiled-body phosphoprotein 1,HvInt
4116,HORVU.MOREX.r2.5HG0355940,5,0,8.78E-07,0.004583296,1.248261335,0.1289511,Guanosine nucleotide diphosphate dissociation inhibitor,MLA
4117,HORVU.MOREX.r2.5HG0355950,3,0,8.71E-07,2.00E-07,2.59932037,0.259932217,MYB-related transcription factor,HvInt
4118,HORVU.MOREX.r2.5HG0355960,2,0,8.77E-07,0.001272301,0.910863775,0.092231448,Pentatricopeptide repeat superfamily protein,HvInt
4119,HORVU.MOREX.r2.5HG0356210,3,25176,8.77E-07,5.69E-06,0.802789162,0.080284037,RNA helicase,HvInt
4120,HORVU.MOREX.r2.5HG0356310,4,7023,8.77E-07,0.003302902,0.968174394,0.099790051,BTB/POZ domain-containing protein,MLA
4121,HORVU.MOREX.r2.5HG0356360,39,222.566614,8.78E-07,0.006462296,21.82331646,2.188147712,Glutamate receptor,MLA
4122,HORVU.MOREX.r2.5HG0356440,7,42733.37106,8.78E-07,9.23E-07,2.863650901,0.286365921,"Cationic amino acid transporter, putative",HvInt
4123,HORVU.MOREX.r2.5HG0356470,34,0,8.78E-07,0.112155373,20.72529627,2.173469463,Transducin/WD40 repeat protein,HvInt
4124,HORVU.MOREX.r2.5HG0356540,47,6942.569805,8.78E-07,0.008809454,12.64312754,1.272241262,Nuclear transcription factor Y subunit,HvInt
4125,HORVU.MOREX.r2.5HG0356590,2,0,8.71E-07,3.89E-08,1.083957341,0.108395769,30S ribosomal protein S17,HvInt
4126,HORVU.MOREX.r2.5HG0356800,1,0,8.73E-07,8.60E-05,0.953985453,0.09547599,Pentatricopeptide repeat-containing protein,HvInt
4127,HORVU.MOREX.r2.5HG0356950,2,0,8.76E-07,4.42E-06,0.943413871,0.094345368,Protein methyltransferase,HvInt
4128,HORVU.MOREX.r2.5HG0356990,1,0,8.73E-07,9.28E-05,0.966084927,0.096692022,Protoporphyrinogen oxidase,HvInt
4129,HORVU.MOREX.r2.5HG0357150,2,0,8.77E-07,6.99E-06,0.889085154,0.088914807,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",HvInt
4130,HORVU.MOREX.r2.5HG0357280,5,0,8.78E-07,1.82E-05,3.013333852,0.301349807,ATP-dependent RNA helicase,HvInt
4131,HORVU.MOREX.r2.5HG0357370,5,0,8.75E-07,0.000310806,3.446805699,0.344960295,Stomatal closure-related actin-binding protein 1,MLA
4132,HORVU.MOREX.r2.5HG0357690,28,0,8.78E-07,0.025516589,12.85229268,1.308194198,WD40 repeat protein,HvInt
4133,HORVU.MOREX.r2.5HG0357890,6,351.2328015,8.78E-07,2.81E-05,1.14833561,0.114858895,"Kinase, putative",HvInt
4134,HORVU.MOREX.r2.5HG0357930,6,383.3486699,8.78E-07,2.47E-05,1.142191304,0.114241359,Protein kinase,HvInt
4135,HORVU.MOREX.r2.5HG0358020,7,0,8.77E-07,0.001255054,3.102120861,0.311341635,ATP-dependent DNA helicase 2 subunit KU70,HvInt
4136,HORVU.MOREX.r2.5HG0358040,7,0,8.77E-07,0.000930047,5.280481794,0.528885222,DNA (Cytosine-5-)-methyltransferase,HvInt
4137,HORVU.MOREX.r2.5HG0358060,6,327.4707455,8.78E-07,2.12E-05,1.043937614,0.104412878,"Kinase, putative",HvInt
4138,HORVU.MOREX.r2.5HG0358100,6,3328.259095,8.78E-07,3.60E-07,0.805578323,0.080558156,"Kinase, putative",HvInt
4139,HORVU.MOREX.r2.5HG0358160,6,329.23335,8.78E-07,3.18E-05,1.095638657,0.109592457,"Kinase, putative",HvInt
4140,HORVU.MOREX.r2.5HG0358170,4,2,8.77E-07,0.000785303,1.405867442,0.141293517,Sulfurtransferase,HvInt
4141,HORVU.MOREX.r2.5HG0358820,2,0,8.77E-07,2.08E-05,1.697770987,0.169795817,Homocysteine s-methyltransferase,HvInt
4142,HORVU.MOREX.r2.5HG0359050,3,0,8.77E-07,1.25E-05,0.959134079,0.095924616,"Tesmin/TSO1-like CXC domain containing protein, expressed",HvInt
4143,HORVU.MOREX.r2.5HG0359080,2,0,8.77E-07,2.42E-05,1.698760792,0.169897878,Dehydrogenase/reductase SDR family protein 7-like protein,HvInt
